country,year,avg_citation_age,median_citation_age
IN,2015,10.7955,10.0
IN,2016,10.9896,10.0
IN,2017,10.8874,9.0
IN,2018,10.6466,9.0
IN,2019,10.8219,9.0
IN,2020,11.1767,9.0
IN,2021,11.5841,10.0
IN,2022,11.3367,10.0
IN,2023,11.4848,10.0
CN,2015,10.8727,10.0
CN,2016,11.1841,10.0
CN,2017,11.2716,10.0
CN,2018,10.9957,9.0
CN,2019,11.3617,9.0
CN,2020,11.0589,9.0
CN,2021,10.8358,8.0
CN,2022,10.6818,8.0
CN,2023,10.842,8.0
US,2015,12.9014,13.0
US,2016,13.158,13.0
US,2017,13.3328,13.0
US,2018,13.3605,13.0
US,2019,13.3738,13.0
US,2020,13.2817,12.0
US,2021,13.2717,12.0
US,2022,13.3245,12.0
US,2023,13.4607,12.0
KR,2015,10.2371,9.0
KR,2016,10.1897,9.0
KR,2017,10.1883,8.0
KR,2018,10.0848,8.0
KR,2019,10.3538,8.0
KR,2020,10.1998,8.0
KR,2021,10.2923,8.0
KR,2022,11.0349,9.0
KR,2023,10.9314,9.0
JP,2015,11.1429,10.0
JP,2016,11.674,11.0
JP,2017,11.8777,11.0
JP,2018,11.9189,11.0
JP,2019,12.0974,11.0
JP,2020,12.1677,11.0
JP,2021,12.2043,11.0
JP,2022,12.3005,10.0
JP,2023,12.6896,11.0
DE,2015,13.461,13.0
DE,2016,13.6468,14.0
DE,2017,13.9278,14.0
DE,2018,14.2994,15.0
DE,2019,14.2032,15.0
DE,2020,14.1649,14.0
DE,2021,14.3112,14.0
DE,2022,14.2413,14.0
DE,2023,14.1565,13.0
GB,2015,13.6543,13.0
GB,2016,13.9063,14.0
GB,2017,13.9854,14.0
GB,2018,14.0202,14.0
GB,2019,13.8357,13.0
GB,2020,14.0455,14.0
GB,2021,13.8457,13.0
GB,2022,13.5867,12.0
GB,2023,13.4731,12.0
TW,2015,10.4863,10.0
TW,2016,10.5291,10.0
TW,2017,10.4444,9.0
TW,2018,10.1615,8.0
TW,2019,10.0324,7.0
TW,2020,9.983,7.0
TW,2021,9.9528,7.0
TW,2022,10.1929,8.0
TW,2023,10.1812,8.0
FR,2015,13.1228,13.0
FR,2016,13.3124,13.0
FR,2017,13.6747,14.0
FR,2018,13.5856,14.0
FR,2019,13.4089,13.0
FR,2020,13.8585,14.0
FR,2021,12.4471,10.0
FR,2022,13.3558,12.0
FR,2023,13.0911,11.0
BR,2015,13.9041,14.0
BR,2016,14.2497,15.0
BR,2017,14.7629,15.0
BR,2018,13.9876,14.0
BR,2019,15.219,16.0
BR,2020,13.4572,12.0
BR,2021,13.5198,12.0
BR,2022,13.912,12.0
BR,2023,14.227,13.0
RU,2015,11.5494,11.0
RU,2016,12.1892,11.0
RU,2017,12.9336,12.0
RU,2018,12.5984,11.0
RU,2019,13.2516,12.0
RU,2020,11.0598,9.0
RU,2021,11.8792,10.0
RU,2022,10.3414,9.0
RU,2023,11.7957,10.0
ZA,2015,12.7001,12.0
ZA,2016,13.7322,13.0
ZA,2017,14.8301,14.0
ZA,2018,14.3521,14.0
ZA,2019,14.1925,15.0
ZA,2020,14.8134,15.0
ZA,2021,14.0417,14.0
ZA,2022,17.4855,18.0
ZA,2023,16.0053,17.0
