country,year,hhi
IN,2015,0.022136
IN,2016,0.023249
IN,2017,0.024943
IN,2018,0.026116
IN,2019,0.02254
IN,2020,0.022116
IN,2021,0.022564
IN,2022,0.016242
IN,2023,0.016588
CN,2015,0.021925
CN,2016,0.024792
CN,2017,0.027841
CN,2018,0.028169
CN,2019,0.02766
CN,2020,0.022932
CN,2021,0.017011
CN,2022,0.013374
CN,2023,0.009064
US,2015,0.004226
US,2016,0.004587
US,2017,0.004513
US,2018,0.004609
US,2019,0.004084
US,2020,0.003859
US,2021,0.00379
US,2022,0.002607
US,2023,0.002626
KR,2015,0.203003
KR,2016,0.188932
KR,2017,0.18306
KR,2018,0.177535
KR,2019,0.171885
KR,2020,0.165121
KR,2021,0.178041
KR,2022,0.162092
KR,2023,0.171184
JP,2015,0.017911
JP,2016,0.016402
JP,2017,0.014709
JP,2018,0.013669
JP,2019,0.013333
JP,2020,0.013104
JP,2021,0.013099
JP,2022,0.01308
JP,2023,0.014683
DE,2015,0.008525
DE,2016,0.008601
DE,2017,0.008505
DE,2018,0.00797
DE,2019,0.006662
DE,2020,0.006093
DE,2021,0.005991
DE,2022,0.0066
DE,2023,0.005707
GB,2015,0.003812
GB,2016,0.004472
GB,2017,0.004559
GB,2018,0.005149
GB,2019,0.0052
GB,2020,0.005
GB,2021,0.004862
GB,2022,0.004157
GB,2023,0.00396
TW,2015,0.032032
TW,2016,0.046277
TW,2017,0.051483
TW,2018,0.058803
TW,2019,0.047555
TW,2020,0.061198
TW,2021,0.067515
TW,2022,0.071207
TW,2023,0.099251
FR,2015,0.010072
FR,2016,0.010365
FR,2017,0.01043
FR,2018,0.00894
FR,2019,0.008762
FR,2020,0.008805
FR,2021,0.008473
FR,2022,0.007977
FR,2023,0.007022
BR,2015,0.02209
BR,2016,0.022689
BR,2017,0.029025
BR,2018,0.040881
BR,2019,0.029182
BR,2020,0.042385
BR,2021,0.058517
BR,2022,0.027845
BR,2023,0.027556
RU,2015,0.031765
RU,2016,0.033619
RU,2017,0.028482
RU,2018,0.028947
RU,2019,0.032864
RU,2020,0.034481
RU,2021,0.035592
RU,2022,0.0395
RU,2023,0.030152
ZA,2015,0.032163
ZA,2016,0.051818
ZA,2017,0.046045
ZA,2018,0.033809
ZA,2019,0.051303
ZA,2020,0.0251
ZA,2021,0.032752
ZA,2022,0.027342
ZA,2023,0.030404
