country,year,localization,self_cite_rate,external_cite_rate
IN,2015,0.000784,0.000801,1.7e-05
IN,2016,0.004947,0.005059,0.000112
IN,2017,0.01318,0.013464,0.000284
IN,2018,0.017627,0.018183,0.000556
IN,2019,0.02131,0.022143,0.000833
IN,2020,0.026687,0.028099,0.001412
IN,2021,0.032008,0.033952,0.001944
IN,2022,0.037988,0.040401,0.002413
IN,2023,0.046463,0.049106,0.002642
CN,2015,0.001023,0.001042,2e-05
CN,2016,0.010059,0.01022,0.00016
CN,2017,0.021171,0.021617,0.000447
CN,2018,0.036823,0.038105,0.001281
CN,2019,0.049243,0.0508,0.001557
CN,2020,0.055166,0.057198,0.002032
CN,2021,0.066211,0.06892,0.002709
CN,2022,0.081444,0.085044,0.0036
CN,2023,0.090657,0.095079,0.004423
US,2015,0.000538,0.001487,0.000948
US,2016,0.004126,0.012129,0.008003
US,2017,0.012299,0.031711,0.019411
US,2018,0.017963,0.055074,0.037111
US,2019,0.034837,0.092553,0.057717
US,2020,0.04942,0.130506,0.081086
US,2021,0.062202,0.16833,0.106127
US,2022,0.076243,0.201626,0.125383
US,2023,0.091483,0.229451,0.137968
KR,2015,0.002131,0.002163,3.2e-05
KR,2016,0.01564,0.015928,0.000288
KR,2017,0.035308,0.036152,0.000844
KR,2018,0.058535,0.060294,0.00176
KR,2019,0.083937,0.086233,0.002296
KR,2020,0.108795,0.111908,0.003113
KR,2021,0.133036,0.136893,0.003857
KR,2022,0.128041,0.132581,0.00454
KR,2023,0.163583,0.168563,0.00498
JP,2015,0.002412,0.002477,6.6e-05
JP,2016,0.01987,0.02047,0.000599
JP,2017,0.047722,0.049153,0.001431
JP,2018,0.080399,0.083134,0.002735
JP,2019,0.105677,0.109627,0.00395
JP,2020,0.130275,0.135962,0.005686
JP,2021,0.154574,0.161686,0.007112
JP,2022,0.172353,0.18082,0.008467
JP,2023,0.181168,0.190469,0.009301
DE,2015,0.000629,0.000658,2.9e-05
DE,2016,0.006358,0.006628,0.000269
DE,2017,0.015358,0.016109,0.000751
DE,2018,0.024901,0.026384,0.001483
DE,2019,0.036612,0.038851,0.002239
DE,2020,0.050732,0.05396,0.003228
DE,2021,0.055987,0.06003,0.004042
DE,2022,0.06835,0.073136,0.004786
DE,2023,0.080019,0.08549,0.005472
GB,2015,0.000527,0.000547,2e-05
GB,2016,0.004968,0.005127,0.000159
GB,2017,0.014214,0.014677,0.000462
GB,2018,0.02162,0.022586,0.000966
GB,2019,0.028321,0.029726,0.001404
GB,2020,0.037057,0.039066,0.002009
GB,2021,0.043979,0.046533,0.002554
GB,2022,0.04976,0.052875,0.003115
GB,2023,0.065346,0.06879,0.003444
TW,2015,0.002579,0.002604,2.5e-05
TW,2016,0.015564,0.015784,0.00022
TW,2017,0.036009,0.036544,0.000535
TW,2018,0.066266,0.067284,0.001017
TW,2019,0.111481,0.11277,0.001289
TW,2020,0.149844,0.151518,0.001674
TW,2021,0.183805,0.185766,0.00196
TW,2022,0.216516,0.218842,0.002326
TW,2023,0.253729,0.256335,0.002606
FR,2015,0.001008,0.00102,1.2e-05
FR,2016,0.008238,0.008373,0.000134
FR,2017,0.016046,0.016391,0.000345
FR,2018,0.025468,0.026141,0.000673
FR,2019,0.028116,0.029145,0.001029
FR,2020,0.039075,0.040484,0.001409
FR,2021,0.051215,0.052885,0.001669
FR,2022,0.04999,0.051907,0.001918
FR,2023,0.053413,0.055563,0.00215
BR,2015,-2e-06,0.0,2e-06
BR,2016,0.001404,0.001412,8e-06
BR,2017,0.003122,0.003142,2e-05
BR,2018,0.01164,0.011673,3.3e-05
BR,2019,0.011681,0.011723,4.2e-05
BR,2020,0.009579,0.009649,7e-05
BR,2021,0.013466,0.01356,9.5e-05
BR,2022,0.01583,0.015962,0.000132
BR,2023,0.017864,0.018002,0.000138
RU,2015,0.000112,0.000112,0.0
RU,2016,0.002517,0.002528,1.1e-05
RU,2017,0.009031,0.009075,4.5e-05
RU,2018,0.016093,0.016181,8.7e-05
RU,2019,0.019259,0.019367,0.000107
RU,2020,0.035619,0.035785,0.000166
RU,2021,0.030362,0.030571,0.00021
RU,2022,0.048632,0.048903,0.000271
RU,2023,0.051345,0.051635,0.00029
ZA,2015,0.000867,0.000868,1e-06
ZA,2016,0.001018,0.001022,5e-06
ZA,2017,0.009117,0.00913,1.3e-05
ZA,2018,0.006258,0.006289,3.1e-05
ZA,2019,0.0122,0.012273,7.3e-05
ZA,2020,0.014268,0.014366,9.9e-05
ZA,2021,0.023701,0.02381,0.000109
ZA,2022,0.020172,0.020295,0.000123
ZA,2023,0.041073,0.041195,0.000123
